id,pincode,district_id,district,statename,state_id
1,531027,,Anakapalli,Andhra Pradesh,
2,531113,,Anakapalli,Andhra Pradesh,
3,531115,,Visakhapatanam,Andhra Pradesh,
4,531024,,Alluri Sitharama Raju,Andhra Pradesh,
5,531040,,Visakhapatanam,Andhra Pradesh,
6,531083,,Anakapalli,Andhra Pradesh,
7,531025,,Anakapalli,Andhra Pradesh,
8,531105,,Alluri Sitharama Raju,Andhra Pradesh,
9,531026,,Anakapalli,Andhra Pradesh,
10,531117,,Visakhapatanam,Andhra Pradesh,
11,533005,,Kakinada,Andhra Pradesh,
12,533461,,Kakinada,Andhra Pradesh,
13,533344,,Kakinada,Andhra Pradesh,
14,533468,,Kakinada,Andhra Pradesh,
15,533463,,Kakinada,Andhra Pradesh,
16,533016,,Kakinada,Andhra Pradesh,
17,533260,,Kakinada,Andhra Pradesh,
18,533464,,Konaseema,Andhra Pradesh,
19,533428,,Alluri Sitharama Raju,Andhra Pradesh,
20,533406,,Kakinada,Andhra Pradesh,
21,533449,,Kakinada,Andhra Pradesh,
22,533430,,Kakinada,Andhra Pradesh,
23,533435,,Kakinada,Andhra Pradesh,
24,533431,,Kakinada,Andhra Pradesh,
25,533407,,Kakinada,Andhra Pradesh,
26,533447,,Kakinada,Andhra Pradesh,
27,533433,,Kakinada,Andhra Pradesh,
28,533437,,Kakinada,Andhra Pradesh,
29,533450,,Kakinada,Andhra Pradesh,
30,533432,,Kakinada,Andhra Pradesh,
31,533436,,Alluri Sitharama Raju,Andhra Pradesh,
32,533446,,Kakinada,Andhra Pradesh,
33,533408,,Kakinada,Andhra Pradesh,
34,533401,,Kakinada,Andhra Pradesh,
35,533434,,Kakinada,Andhra Pradesh,
36,533483,,Alluri Sitharama Raju,Andhra Pradesh,
37,533451,,East Godavari,Andhra Pradesh,
38,535557,,Parvathipuram Manyam,Andhra Pradesh,
39,535557,,Srikakulam,Andhra Pradesh,
40,535573,,Vizianagaram,Andhra Pradesh,
41,535573,,Parvathipuram Manyam,Andhra Pradesh,
42,535559,,Parvathipuram Manyam,Andhra Pradesh,
43,535128,,Vizianagaram,Andhra Pradesh,
44,535578,,Vizianagaram,Andhra Pradesh,
45,505503,,Jayashankar Bhupalapally,Telangana,
46,535102,,Vizianagaram,Andhra Pradesh,
47,535547,,Parvathipuram Manyam,Andhra Pradesh,
48,535547,,Visakhapatanam,Andhra Pradesh,
49,535593,,Parvathipuram Manyam,Andhra Pradesh,
50,535125,,Vizianagaram,Andhra Pradesh,
51,535592,,Parvathipuram Manyam,Andhra Pradesh,
52,535568,,Vizianagaram,Andhra Pradesh,
53,535579,,Vizianagaram,Andhra Pradesh,
54,503175,,Nizamabad,Telangana,
55,535546,,Parvathipuram Manyam,Andhra Pradesh,
56,535101,,Vizianagaram,Andhra Pradesh,
57,532148,,Srikakulam,Andhra Pradesh,
58,535126,,Vizianagaram,Andhra Pradesh,
59,535124,,Vizianagaram,Andhra Pradesh,
60,535463,,Parvathipuram Manyam,Andhra Pradesh,
61,503230,,Vizianagaram,Andhra Pradesh,
62,535523,,Vizianagaram,Andhra Pradesh,
63,535594,,Parvathipuram Manyam,Andhra Pradesh,
64,535521,,Parvathipuram Manyam,Andhra Pradesh,
65,535524,,Parvathipuram Manyam,Andhra Pradesh,
66,535534,,Parvathipuram Manyam,Andhra Pradesh,
67,535522,,Parvathipuram Manyam,Andhra Pradesh,
68,532462,,Parvathipuram Manyam,Andhra Pradesh,
69,532462,,Srikakulam,Andhra Pradesh,
70,532440,,Parvathipuram Manyam,Andhra Pradesh,
71,535502,,Parvathipuram Manyam,Andhra Pradesh,
72,535502,,Vizianagaram,Andhra Pradesh,
73,535527,,Parvathipuram Manyam,Andhra Pradesh,
74,535525,,Parvathipuram Manyam,Andhra Pradesh,
75,532443,,Parvathipuram Manyam,Andhra Pradesh,
76,503245,,Nizamabad,Telangana,
77,532460,,Parvathipuram Manyam,Andhra Pradesh,
78,532460,,Srikakulam,Andhra Pradesh,
79,533297,,Kakinada,Andhra Pradesh,
80,533284,,Alluri Sitharama Raju,Andhra Pradesh,
81,502345,,Sangareddy,Telangana,
82,533286,,East Godavari,Andhra Pradesh,
83,533296,,East Godavari,Andhra Pradesh,
84,533353,,East Godavari,Andhra Pradesh,
85,533124,,East Godavari,Andhra Pradesh,
86,533126,,East Godavari,Andhra Pradesh,
87,533102,,East Godavari,Andhra Pradesh,
88,533289,,East Godavari,Andhra Pradesh,
89,533285,,Alluri Sitharama Raju,Andhra Pradesh,
90,533295,,Alluri Sitharama Raju,Andhra Pradesh,
91,533294,,East Godavari,Andhra Pradesh,
92,533288,,Alluri Sitharama Raju,Andhra Pradesh,
93,533288,,East Godavari,Andhra Pradesh,
94,533107,,East Godavari,Andhra Pradesh,
95,533287,,East Godavari,Andhra Pradesh,
96,533105,,East Godavari,Andhra Pradesh,
97,533293,,East Godavari,Andhra Pradesh,
98,533350,,Alluri Sitharama Raju,Andhra Pradesh,
99,533347,,Alluri Sitharama Raju,Andhra Pradesh,
100,533342,,East Godavari,Andhra Pradesh,
101,533307,,Konaseema,Andhra Pradesh,
102,533232,,Konaseema,Andhra Pradesh,
103,533262,,Konaseema,Andhra Pradesh,
104,533341,,Konaseema,Andhra Pradesh,
105,533341,,East Godavari,Andhra Pradesh,
106,533306,,Konaseema,Andhra Pradesh,
107,533264,,East Godavari,Andhra Pradesh,
108,533308,,Konaseema,Andhra Pradesh,
109,533305,,Konaseema,Andhra Pradesh,
110,533345,,East Godavari,Andhra Pradesh,
111,533345,,Konaseema,Andhra Pradesh,
112,533256,,Konaseema,Andhra Pradesh,
113,532456,,Parvathipuram Manyam,Andhra Pradesh,
114,532445,,Srikakulam,Andhra Pradesh,
115,532484,,Srikakulam,Andhra Pradesh,
116,532459,,Srikakulam,Andhra Pradesh,
117,532432,,Srikakulam,Andhra Pradesh,
118,532214,,Srikakulam,Andhra Pradesh,
119,532455,,Parvathipuram Manyam,Andhra Pradesh,
120,502318,,Sangareddy,Telangana,
121,532458,,Parvathipuram Manyam,Andhra Pradesh,
122,532458,,Srikakulam,Andhra Pradesh,
123,532421,,Srikakulam,Andhra Pradesh,
124,532457,,Srikakulam,Andhra Pradesh,
125,532213,,Srikakulam,Andhra Pradesh,
126,532429,,Srikakulam,Andhra Pradesh,
127,532430,,Srikakulam,Andhra Pradesh,
128,532426,,Srikakulam,Andhra Pradesh,
129,532474,,Srikakulam,Andhra Pradesh,
130,532425,,Srikakulam,Andhra Pradesh,
131,532186,,Srikakulam,Andhra Pradesh,
132,532187,,Srikakulam,Andhra Pradesh,
133,532401,,Srikakulam,Andhra Pradesh,
134,532408,,Srikakulam,Andhra Pradesh,
135,532410,,Srikakulam,Andhra Pradesh,
136,532005,,Srikakulam,Andhra Pradesh,
137,532407,,Srikakulam,Andhra Pradesh,
138,532403,,Srikakulam,Andhra Pradesh,
139,502319,,Sangareddy,Telangana,
140,532167,,Srikakulam,Andhra Pradesh,
141,532168,,Srikakulam,Andhra Pradesh,
142,532409,,Srikakulam,Andhra Pradesh,
143,502313,,Medak,Telangana,
144,532127,,Srikakulam,Andhra Pradesh,
145,532127,,Vizianagaram,Andhra Pradesh,
146,532402,,Srikakulam,Andhra Pradesh,
147,532123,,Srikakulam,Andhra Pradesh,
148,532404,,Srikakulam,Andhra Pradesh,
149,532122,,Parvathipuram Manyam,Andhra Pradesh,
150,532264,,Srikakulam,Andhra Pradesh,
151,532220,,Srikakulam,Andhra Pradesh,
152,532216,,Srikakulam,Andhra Pradesh,
153,532243,,Srikakulam,Andhra Pradesh,
154,532312,,Srikakulam,Andhra Pradesh,
155,532290,,Srikakulam,Andhra Pradesh,
156,532222,,Srikakulam,Andhra Pradesh,
157,532322,,Srikakulam,Andhra Pradesh,
158,532195,,Srikakulam,Andhra Pradesh,
159,532242,,Srikakulam,Andhra Pradesh,
160,532215,,Srikakulam,Andhra Pradesh,
161,532212,,Srikakulam,Andhra Pradesh,
162,532211,,Srikakulam,Andhra Pradesh,
163,532221,,Srikakulam,Andhra Pradesh,
164,532284,,Srikakulam,Andhra Pradesh,
165,532204,,Srikakulam,Andhra Pradesh,
166,532203,,Srikakulam,Andhra Pradesh,
167,530040,,Visakhapatanam,Andhra Pradesh,
168,530048,,Visakhapatanam,Andhra Pradesh,
169,530012,,Visakhapatanam,Andhra Pradesh,
170,531163,,Visakhapatanam,Andhra Pradesh,
171,531162,,Vizianagaram,Andhra Pradesh,
172,531162,,Visakhapatanam,Andhra Pradesh,
173,531173,,Visakhapatanam,Andhra Pradesh,
174,531219,,Visakhapatanam,Andhra Pradesh,
175,535240,,Vizianagaram,Andhra Pradesh,
176,535005,,Vizianagaram,Andhra Pradesh,
177,535005,,Visakhapatanam,Andhra Pradesh,
178,535216,,Vizianagaram,Andhra Pradesh,
179,535160,,Vizianagaram,Andhra Pradesh,
180,535260,,Vizianagaram,Andhra Pradesh,
181,535581,,Vizianagaram,Andhra Pradesh,
182,535148,,Vizianagaram,Andhra Pradesh,
183,535270,,Vizianagaram,Andhra Pradesh,
184,535215,,Vizianagaram,Andhra Pradesh,
185,535004,,Vizianagaram,Andhra Pradesh,
186,535250,,Visakhapatanam,Andhra Pradesh,
187,535220,,Vizianagaram,Andhra Pradesh,
188,535183,,Vizianagaram,Andhra Pradesh,
189,535183,,Anakapalli,Andhra Pradesh,
190,535161,,Vizianagaram,Andhra Pradesh,
191,535280,,Vizianagaram,Andhra Pradesh,
192,535217,,Vizianagaram,Andhra Pradesh,
193,535221,,Vizianagaram,Andhra Pradesh,
194,535582,,Vizianagaram,Andhra Pradesh,
195,535580,,Vizianagaram,Andhra Pradesh,
196,535204,,Vizianagaram,Andhra Pradesh,
197,535218,,Vizianagaram,Andhra Pradesh,
198,535145,,Visakhapatanam,Andhra Pradesh,
199,535145,,Vizianagaram,Andhra Pradesh,
200,535281,,Vizianagaram,Andhra Pradesh,
201,535003,,Vizianagaram,Andhra Pradesh,
202,786613,,Dibrugarh,Assam,
203,786007,,Dibrugarh,Assam,
204,786003,,Dibrugarh,Assam,
205,786004,,Dibrugarh,Assam,
206,786101,,Dibrugarh,Assam,
207,786614,,Dibrugarh,Assam,
208,786001,,Dibrugarh,Assam,
209,785676,,Dibrugarh,Assam,
210,785675,,Dibrugarh,Assam,
211,786010,,Dibrugarh,Assam,
212,786012,,Dibrugarh,Assam,
213,786610,,Dibrugarh,Assam,
214,786621,,Dibrugarh,Assam,
215,786191,,Dibrugarh,Assam,
216,786611,,Dibrugarh,Assam,
217,786103,,Dibrugarh,Assam,
218,786612,,Dibrugarh,Assam,
219,784161,,Lakhimpur,Assam,
220,787055,,Lakhimpur,Assam,
221,784165,,Lakhimpur,Assam,
222,787057,,Dhemaji,Assam,
223,784164,,Lakhimpur,Assam,
224,787035,,Dhemaji,Assam,
225,787060,,Dhemaji,Assam,
226,787031,,Lakhimpur,Assam,
227,784160,,Lakhimpur,Assam,
228,787058,,Dhemaji,Assam,
229,787058,,Lakhimpur,Assam,
230,787032,,Lakhimpur,Assam,
231,787023,,Lakhimpur,Assam,
232,787052,,Lakhimpur,Assam,
233,787056,,Lakhimpur,Assam,
234,787059,,Dhemaji,Assam,
235,787061,,Dhemaji,Assam,
236,787110,,Dhemaji,Assam,
237,782450,,West Karbi Anglong,Assam,
238,782450,,Nagaon,Assam,
239,782482,,Karbi Anglong,Assam,
240,782490,,Karbi Anglong,Assam,
241,782480,,Karbi Anglong,Assam,
242,782470,,Karbi Anglong,Assam,
243,782462,,Karbi Anglong,Assam,
244,782441,,Karbi Anglong,Assam,
245,782485,,West Karbi Anglong,Assam,
246,782435,,West Karbi Anglong,Assam,
247,782435,,Hojai,Assam,
248,782481,,Hojai,Assam,
249,782481,,Karbi Anglong,Assam,
250,782448,,West Karbi Anglong,Assam,
251,782446,,Hojai,Assam,
252,782461,,Karbi Anglong,Assam,
253,782439,,Hojai,Assam,
254,782442,,Hojai,Assam,
255,782120,,Nagaon,Assam,
256,782144,,Nagaon,Assam,
257,782102,,Nagaon,Assam,
258,782122,,Nagaon,Assam,
259,782142,,Nagaon,Assam,
260,782121,,Marigaon,Assam,
261,782425,,Nagaon,Assam,
262,782106,,Nagaon,Assam,
263,782106,,Marigaon,Assam,
264,782440,,Hojai,Assam,
265,782412,,Marigaon,Assam,
266,782123,,Nagaon,Assam,
267,782002,,Nagaon,Assam,
268,782003,,Nagaon,Assam,
269,782411,,Marigaon,Assam,
270,782411,,Kamrup Metro,Assam,
271,782410,,Ri Bhoi,Meghalaya,
272,782136,,Karbi Anglong,Assam,
273,782136,,Nagaon,Assam,
274,782413,,West Karbi Anglong,Assam,
275,782104,,Marigaon,Assam,
276,782124,,Nagaon,Assam,
277,782413,,Marigaon,Assam,
278,782426,,Nagaon,Assam,
279,782137,,Nagaon,Assam,
280,782127,,Marigaon,Assam,
281,782126,,Marigaon,Assam,
282,782105,,Marigaon,Assam,
283,782101,,Nagaon,Assam,
284,782141,,Nagaon,Assam,
285,782103,,Nagaon,Assam,
286,782103,,Marigaon,Assam,
287,782125,,Nagaon,Assam,
288,782139,,Nagaon,Assam,
289,782140,,Nagaon,Assam,
290,785611,,Golaghat,Assam,
291,785618,,Golaghat,Assam,
292,785702,,Golaghat,Assam,
293,785612,,Golaghat,Assam,
294,785614,,Golaghat,Assam,
295,785622,,Golaghat,Assam,
296,785619,,Golaghat,Assam,
297,785626,,Golaghat,Assam,
298,785705,,Golaghat,Assam,
299,785615,,Golaghat,Assam,
300,785603,,Golaghat,Assam,
301,785703,,Golaghat,Assam,
302,785703,,Jorhat,Assam,
303,785601,,Golaghat,Assam,
304,785101,,Jorhat,Assam,
305,785631,,Jorhat,Assam,
306,785008,,Jorhat,Assam,
307,785104,,Majuli,Assam,
308,785616,,Jorhat,Assam,
309,785105,,Majuli,Assam,
310,785007,,Jorhat,Assam,
311,785006,,Jorhat,Assam,
312,785107,,Jorhat,Assam,
313,785108,,Jorhat,Assam,
314,785106,,Majuli,Assam,
315,785700,,Jorhat,Assam,
316,785634,,Jorhat,Assam,
317,785635,,Jorhat,Assam,
318,785704,,Jorhat,Assam,
319,785112,,Jorhat,Assam,
320,785630,,Jorhat,Assam,
321,785681,,Sivasagar,Assam,
322,785680,,Sivasagar,Assam,
323,785691,,Charaideo,Assam,
324,785693,,Charaideo,Assam,
325,785663,,Sivasagar,Assam,
326,785664,,Sivasagar,Assam,
327,785696,,Sivasagar,Assam,
328,785701,,Sivasagar,Assam,
329,785683,,Jorhat,Assam,
330,785683,,Sivasagar,Assam,
331,785667,,Sivasagar,Assam,
332,785698,,Charaideo,Assam,
333,785670,,Charaideo,Assam,
334,785684,,Sivasagar,Assam,
335,785685,,Sivasagar,Assam,
336,785674,,Sivasagar,Assam,
337,785671,,Sivasagar,Assam,
338,785697,,Sivasagar,Assam,
339,785672,,Sivasagar,Assam,
340,785687,,Sivasagar,Assam,
341,785692,,Charaideo,Assam,
342,785673,,Charaideo,Assam,
343,785686,,Sivasagar,Assam,
344,785690,,Charaideo,Assam,
345,785689,,Charaideo,Assam,
346,785682,,Sivasagar,Assam,
347,786157,,Tinsukia,Assam,
348,786171,,Tinsukia,Assam,
349,786601,,Tinsukia,Assam,
350,786152,,Tinsukia,Assam,
351,786182,,Tinsukia,Assam,
352,786181,,Tinsukia,Assam,
353,786183,,Tinsukia,Assam,
354,786183,,Dibrugarh,Assam,
355,786174,,Tinsukia,Assam,
356,786160,,Tinsukia,Assam,
357,786147,,Tinsukia,Assam,
358,786154,,Tinsukia,Assam,
359,786179,,Tinsukia,Assam,
360,786148,,Tinsukia,Assam,
361,783388,,Bongaigaon,Assam,
362,783384,,Bongaigaon,Assam,
363,783120,,Goalpara,Assam,
