id,pincode,district,district_id,statename,state_id
1,531027,Anakapalli,,ANDHRA PRADESH,
2,531113,Anakapalli,,ANDHRA PRADESH,
3,531115,VISAKHAPATANAM,,ANDHRA PRADESH,
4,531024,Alluri Sitharama Raju,,ANDHRA PRADESH,
5,531040,VISAKHAPATANAM,,ANDHRA PRADESH,
6,531083,Anakapalli,,ANDHRA PRADESH,
7,531025,Anakapalli,,ANDHRA PRADESH,
8,531105,Alluri Sitharama Raju,,ANDHRA PRADESH,
9,531026,Anakapalli,,ANDHRA PRADESH,
10,531117,VISAKHAPATANAM,,ANDHRA PRADESH,
11,533005,Kakinada,,ANDHRA PRADESH,
12,533461,Kakinada,,ANDHRA PRADESH,
13,533344,Kakinada,,ANDHRA PRADESH,
14,533468,Kakinada,,ANDHRA PRADESH,
15,533463,Kakinada,,ANDHRA PRADESH,
16,533016,Kakinada,,ANDHRA PRADESH,
17,533260,Kakinada,,ANDHRA PRADESH,
18,533464,Konaseema,,ANDHRA PRADESH,
19,533428,Alluri Sitharama Raju,,ANDHRA PRADESH,
20,533406,Kakinada,,ANDHRA PRADESH,
21,533449,Kakinada,,ANDHRA PRADESH,
22,533430,Kakinada,,ANDHRA PRADESH,
23,533435,Kakinada,,ANDHRA PRADESH,
24,533431,Kakinada,,ANDHRA PRADESH,
25,533407,Kakinada,,ANDHRA PRADESH,
26,533447,Kakinada,,ANDHRA PRADESH,
27,533433,Kakinada,,ANDHRA PRADESH,
28,533437,Kakinada,,ANDHRA PRADESH,
29,533450,Kakinada,,ANDHRA PRADESH,
30,533432,Kakinada,,ANDHRA PRADESH,
31,533436,Alluri Sitharama Raju,,ANDHRA PRADESH,
32,533446,Kakinada,,ANDHRA PRADESH,
33,533408,Kakinada,,ANDHRA PRADESH,
34,533401,Kakinada,,ANDHRA PRADESH,
35,533434,Kakinada,,ANDHRA PRADESH,
36,533483,Alluri Sitharama Raju,,ANDHRA PRADESH,
37,533451,EAST GODAVARI,,ANDHRA PRADESH,
38,535557,Parvathipuram Manyam,,ANDHRA PRADESH,
39,535557,SRIKAKULAM,,ANDHRA PRADESH,
40,535573,VIZIANAGARAM,,ANDHRA PRADESH,
41,535573,Parvathipuram Manyam,,ANDHRA PRADESH,
42,535559,Parvathipuram Manyam,,ANDHRA PRADESH,
43,535128,VIZIANAGARAM,,ANDHRA PRADESH,
44,535578,VIZIANAGARAM,,ANDHRA PRADESH,
45,505503,JAYASHANKAR BHUPALAPALLY,,TELANGANA,
46,535102,VIZIANAGARAM,,ANDHRA PRADESH,
47,535547,Parvathipuram Manyam,,ANDHRA PRADESH,
48,535547,VISAKHAPATANAM,,ANDHRA PRADESH,
49,535593,Parvathipuram Manyam,,ANDHRA PRADESH,
50,535125,VIZIANAGARAM,,ANDHRA PRADESH,
51,535592,Parvathipuram Manyam,,ANDHRA PRADESH,
52,535568,VIZIANAGARAM,,ANDHRA PRADESH,
53,535579,VIZIANAGARAM,,ANDHRA PRADESH,
54,503175,NIZAMABAD,,TELANGANA,
55,535546,Parvathipuram Manyam,,ANDHRA PRADESH,
56,535101,VIZIANAGARAM,,ANDHRA PRADESH,
57,532148,SRIKAKULAM,,ANDHRA PRADESH,
58,535126,VIZIANAGARAM,,ANDHRA PRADESH,
59,535124,VIZIANAGARAM,,ANDHRA PRADESH,
60,535463,Parvathipuram Manyam,,ANDHRA PRADESH,
61,503230,VIZIANAGARAM,,ANDHRA PRADESH,
62,535523,VIZIANAGARAM,,ANDHRA PRADESH,
63,535594,Parvathipuram Manyam,,ANDHRA PRADESH,
64,535521,Parvathipuram Manyam,,ANDHRA PRADESH,
65,535524,Parvathipuram Manyam,,ANDHRA PRADESH,
66,535534,Parvathipuram Manyam,,ANDHRA PRADESH,
67,535522,Parvathipuram Manyam,,ANDHRA PRADESH,
68,532462,Parvathipuram Manyam,,ANDHRA PRADESH,
69,532462,SRIKAKULAM,,ANDHRA PRADESH,
70,532440,Parvathipuram Manyam,,ANDHRA PRADESH,
71,535502,Parvathipuram Manyam,,ANDHRA PRADESH,
72,535502,VIZIANAGARAM,,ANDHRA PRADESH,
73,535527,Parvathipuram Manyam,,ANDHRA PRADESH,
74,535525,Parvathipuram Manyam,,ANDHRA PRADESH,
75,532443,Parvathipuram Manyam,,ANDHRA PRADESH,
76,503245,NIZAMABAD,,TELANGANA,
77,532460,Parvathipuram Manyam,,ANDHRA PRADESH,
78,532460,SRIKAKULAM,,ANDHRA PRADESH,
79,533297,Kakinada,,ANDHRA PRADESH,
80,533284,Alluri Sitharama Raju,,ANDHRA PRADESH,
81,502345,SANGAREDDY,,TELANGANA,
82,533286,EAST GODAVARI,,ANDHRA PRADESH,
83,533296,EAST GODAVARI,,ANDHRA PRADESH,
84,533353,EAST GODAVARI,,ANDHRA PRADESH,
85,533124,EAST GODAVARI,,ANDHRA PRADESH,
86,533126,EAST GODAVARI,,ANDHRA PRADESH,
87,533102,EAST GODAVARI,,ANDHRA PRADESH,
88,533289,EAST GODAVARI,,ANDHRA PRADESH,
89,533285,Alluri Sitharama Raju,,ANDHRA PRADESH,
90,533295,Alluri Sitharama Raju,,ANDHRA PRADESH,
91,533294,EAST GODAVARI,,ANDHRA PRADESH,
92,533288,Alluri Sitharama Raju,,ANDHRA PRADESH,
93,533288,EAST GODAVARI,,ANDHRA PRADESH,
94,533107,EAST GODAVARI,,ANDHRA PRADESH,
95,533287,EAST GODAVARI,,ANDHRA PRADESH,
96,533105,EAST GODAVARI,,ANDHRA PRADESH,
97,533293,EAST GODAVARI,,ANDHRA PRADESH,
98,533350,Alluri Sitharama Raju,,ANDHRA PRADESH,
99,533347,Alluri Sitharama Raju,,ANDHRA PRADESH,
100,533342,EAST GODAVARI,,ANDHRA PRADESH,
101,533307,Konaseema,,ANDHRA PRADESH,
102,533232,Konaseema,,ANDHRA PRADESH,
103,533262,Konaseema,,ANDHRA PRADESH,
104,533341,Konaseema,,ANDHRA PRADESH,
105,533341,EAST GODAVARI,,ANDHRA PRADESH,
106,533306,Konaseema,,ANDHRA PRADESH,
107,533264,EAST GODAVARI,,ANDHRA PRADESH,
108,533308,Konaseema,,ANDHRA PRADESH,
109,533305,Konaseema,,ANDHRA PRADESH,
110,533345,EAST GODAVARI,,ANDHRA PRADESH,
111,533345,Konaseema,,ANDHRA PRADESH,
112,533256,Konaseema,,ANDHRA PRADESH,
113,532456,Parvathipuram Manyam,,ANDHRA PRADESH,
114,532445,SRIKAKULAM,,ANDHRA PRADESH,
115,532484,SRIKAKULAM,,ANDHRA PRADESH,
116,532459,SRIKAKULAM,,ANDHRA PRADESH,
117,532432,SRIKAKULAM,,ANDHRA PRADESH,
118,532214,SRIKAKULAM,,ANDHRA PRADESH,
119,532455,Parvathipuram Manyam,,ANDHRA PRADESH,
120,502318,SANGAREDDY,,TELANGANA,
121,532458,Parvathipuram Manyam,,ANDHRA PRADESH,
122,532458,SRIKAKULAM,,ANDHRA PRADESH,
123,532421,SRIKAKULAM,,ANDHRA PRADESH,
124,532457,SRIKAKULAM,,ANDHRA PRADESH,
125,532213,SRIKAKULAM,,ANDHRA PRADESH,
126,532429,SRIKAKULAM,,ANDHRA PRADESH,
127,532430,SRIKAKULAM,,ANDHRA PRADESH,
128,532426,SRIKAKULAM,,ANDHRA PRADESH,
129,532474,SRIKAKULAM,,ANDHRA PRADESH,
130,532425,SRIKAKULAM,,ANDHRA PRADESH,
131,532186,SRIKAKULAM,,ANDHRA PRADESH,
132,532187,SRIKAKULAM,,ANDHRA PRADESH,
133,532401,SRIKAKULAM,,ANDHRA PRADESH,
134,532408,SRIKAKULAM,,ANDHRA PRADESH,
135,532410,SRIKAKULAM,,ANDHRA PRADESH,
136,532005,SRIKAKULAM,,ANDHRA PRADESH,
137,532407,SRIKAKULAM,,ANDHRA PRADESH,
138,532403,SRIKAKULAM,,ANDHRA PRADESH,
139,502319,SANGAREDDY,,TELANGANA,
140,532167,SRIKAKULAM,,ANDHRA PRADESH,
141,532168,SRIKAKULAM,,ANDHRA PRADESH,
142,532409,SRIKAKULAM,,ANDHRA PRADESH,
143,502313,MEDAK,,TELANGANA,
144,532127,SRIKAKULAM,,ANDHRA PRADESH,
145,532127,VIZIANAGARAM,,ANDHRA PRADESH,
146,532402,SRIKAKULAM,,ANDHRA PRADESH,
147,532123,SRIKAKULAM,,ANDHRA PRADESH,
148,532404,SRIKAKULAM,,ANDHRA PRADESH,
149,532122,Parvathipuram Manyam,,ANDHRA PRADESH,
150,532264,SRIKAKULAM,,ANDHRA PRADESH,
151,532220,SRIKAKULAM,,ANDHRA PRADESH,
152,532216,SRIKAKULAM,,ANDHRA PRADESH,
153,532243,SRIKAKULAM,,ANDHRA PRADESH,
154,532312,SRIKAKULAM,,ANDHRA PRADESH,
155,532290,SRIKAKULAM,,ANDHRA PRADESH,
156,532222,SRIKAKULAM,,ANDHRA PRADESH,
157,532322,SRIKAKULAM,,ANDHRA PRADESH,
158,532195,SRIKAKULAM,,ANDHRA PRADESH,
159,532242,SRIKAKULAM,,ANDHRA PRADESH,
160,532215,SRIKAKULAM,,ANDHRA PRADESH,
161,532212,SRIKAKULAM,,ANDHRA PRADESH,
162,532211,SRIKAKULAM,,ANDHRA PRADESH,
163,532221,SRIKAKULAM,,ANDHRA PRADESH,
164,532284,SRIKAKULAM,,ANDHRA PRADESH,
165,532204,SRIKAKULAM,,ANDHRA PRADESH,
166,532203,SRIKAKULAM,,ANDHRA PRADESH,
167,530040,VISAKHAPATANAM,,ANDHRA PRADESH,
168,530048,VISAKHAPATANAM,,ANDHRA PRADESH,
169,530012,VISAKHAPATANAM,,ANDHRA PRADESH,
170,531163,VISAKHAPATANAM,,ANDHRA PRADESH,
171,531162,VIZIANAGARAM,,ANDHRA PRADESH,
172,531162,VISAKHAPATANAM,,ANDHRA PRADESH,
173,531173,VISAKHAPATANAM,,ANDHRA PRADESH,
174,531219,VISAKHAPATANAM,,ANDHRA PRADESH,
175,535240,VIZIANAGARAM,,ANDHRA PRADESH,
176,535005,VIZIANAGARAM,,ANDHRA PRADESH,
177,535005,VISAKHAPATANAM,,ANDHRA PRADESH,
178,535216,VIZIANAGARAM,,ANDHRA PRADESH,
179,535160,VIZIANAGARAM,,ANDHRA PRADESH,
180,535260,VIZIANAGARAM,,ANDHRA PRADESH,
181,535581,VIZIANAGARAM,,ANDHRA PRADESH,
182,535148,VIZIANAGARAM,,ANDHRA PRADESH,
183,535270,VIZIANAGARAM,,ANDHRA PRADESH,
184,535215,VIZIANAGARAM,,ANDHRA PRADESH,
185,535004,VIZIANAGARAM,,ANDHRA PRADESH,
186,535250,VISAKHAPATANAM,,ANDHRA PRADESH,
187,535220,VIZIANAGARAM,,ANDHRA PRADESH,
188,535183,VIZIANAGARAM,,ANDHRA PRADESH,
189,535183,Anakapalli,,ANDHRA PRADESH,
190,535161,VIZIANAGARAM,,ANDHRA PRADESH,
191,535280,VIZIANAGARAM,,ANDHRA PRADESH,
192,535217,VIZIANAGARAM,,ANDHRA PRADESH,
193,535221,VIZIANAGARAM,,ANDHRA PRADESH,
194,535582,VIZIANAGARAM,,ANDHRA PRADESH,
195,535580,VIZIANAGARAM,,ANDHRA PRADESH,
196,535204,VIZIANAGARAM,,ANDHRA PRADESH,
197,535218,VIZIANAGARAM,,ANDHRA PRADESH,
198,535145,VISAKHAPATANAM,,ANDHRA PRADESH,
199,535145,VIZIANAGARAM,,ANDHRA PRADESH,
200,535281,VIZIANAGARAM,,ANDHRA PRADESH,
201,535003,VIZIANAGARAM,,ANDHRA PRADESH,
202,786613,DIBRUGARH,,ASSAM,
203,786007,DIBRUGARH,,ASSAM,
204,786003,DIBRUGARH,,ASSAM,
205,786004,DIBRUGARH,,ASSAM,
206,786101,DIBRUGARH,,ASSAM,
207,786614,DIBRUGARH,,ASSAM,
208,786001,DIBRUGARH,,ASSAM,
209,785676,DIBRUGARH,,ASSAM,
210,785675,DIBRUGARH,,ASSAM,
211,786010,DIBRUGARH,,ASSAM,
212,786012,DIBRUGARH,,ASSAM,
213,786610,DIBRUGARH,,ASSAM,
214,786621,DIBRUGARH,,ASSAM,
215,786191,DIBRUGARH,,ASSAM,
216,786611,DIBRUGARH,,ASSAM,
217,786103,DIBRUGARH,,ASSAM,
218,786612,DIBRUGARH,,ASSAM,
219,784161,LAKHIMPUR,,ASSAM,
220,787055,LAKHIMPUR,,ASSAM,
221,784165,LAKHIMPUR,,ASSAM,
222,787057,DHEMAJI,,ASSAM,
223,784164,LAKHIMPUR,,ASSAM,
224,787035,DHEMAJI,,ASSAM,
225,787060,DHEMAJI,,ASSAM,
226,787031,LAKHIMPUR,,ASSAM,
227,784160,LAKHIMPUR,,ASSAM,
228,787058,DHEMAJI,,ASSAM,
229,787058,LAKHIMPUR,,ASSAM,
230,787032,LAKHIMPUR,,ASSAM,
231,787023,LAKHIMPUR,,ASSAM,
232,787052,LAKHIMPUR,,ASSAM,
233,787056,LAKHIMPUR,,ASSAM,
234,787059,DHEMAJI,,ASSAM,
235,787061,DHEMAJI,,ASSAM,
236,787110,DHEMAJI,,ASSAM,
237,782450,WEST KARBI ANGLONG,,ASSAM,
238,782450,NAGAON,,ASSAM,
239,782482,KARBI ANGLONG,,ASSAM,
240,782490,KARBI ANGLONG,,ASSAM,
241,782480,KARBI ANGLONG,,ASSAM,
242,782470,KARBI ANGLONG,,ASSAM,
243,782462,KARBI ANGLONG,,ASSAM,
244,782441,KARBI ANGLONG,,ASSAM,
245,782485,WEST KARBI ANGLONG,,ASSAM,
246,782435,WEST KARBI ANGLONG,,ASSAM,
247,782435,HOJAI,,ASSAM,
248,782481,HOJAI,,ASSAM,
249,782481,KARBI ANGLONG,,ASSAM,
250,782448,WEST KARBI ANGLONG,,ASSAM,
251,782446,HOJAI,,ASSAM,
252,782461,KARBI ANGLONG,,ASSAM,
253,782439,HOJAI,,ASSAM,
254,782442,HOJAI,,ASSAM,
255,782120,NAGAON,,ASSAM,
256,782144,NAGAON,,ASSAM,
257,782102,NAGAON,,ASSAM,
258,782122,NAGAON,,ASSAM,
259,782142,NAGAON,,ASSAM,
260,782121,MARIGAON,,ASSAM,
261,782425,NAGAON,,ASSAM,
262,782106,NAGAON,,ASSAM,
263,782106,MARIGAON,,ASSAM,
264,782440,HOJAI,,ASSAM,
265,782412,MARIGAON,,ASSAM,
266,782123,NAGAON,,ASSAM,
267,782002,NAGAON,,ASSAM,
268,782003,NAGAON,,ASSAM,
269,782411,MARIGAON,,ASSAM,
270,782411,KAMRUP METRO,,ASSAM,
271,782410,RI BHOI,,MEGHALAYA,
272,782136,KARBI ANGLONG,,ASSAM,
273,782136,NAGAON,,ASSAM,
274,782413,WEST KARBI ANGLONG,,ASSAM,
275,782104,MARIGAON,,ASSAM,
276,782124,NAGAON,,ASSAM,
277,782413,MARIGAON,,ASSAM,
278,782426,NAGAON,,ASSAM,
279,782137,NAGAON,,ASSAM,
280,782127,MARIGAON,,ASSAM,
281,782126,MARIGAON,,ASSAM,
282,782105,MARIGAON,,ASSAM,
283,782101,NAGAON,,ASSAM,
284,782141,NAGAON,,ASSAM,
285,782103,NAGAON,,ASSAM,
286,782103,MARIGAON,,ASSAM,
287,782125,NAGAON,,ASSAM,
288,782139,NAGAON,,ASSAM,
289,782140,NAGAON,,ASSAM,
290,785611,GOLAGHAT,,ASSAM,
291,785618,GOLAGHAT,,ASSAM,
292,785702,GOLAGHAT,,ASSAM,
293,785612,GOLAGHAT,,ASSAM,
294,785614,GOLAGHAT,,ASSAM,
295,785622,GOLAGHAT,,ASSAM,
296,785619,GOLAGHAT,,ASSAM,
297,785626,GOLAGHAT,,ASSAM,
298,785705,GOLAGHAT,,ASSAM,
299,785615,GOLAGHAT,,ASSAM,
